module,r_surv,r_init,slack_P,slack_Q,maxcos,meancos,stable_rank,sr_over_r,lam_max,lam_min
h17.mlp.c_pro,44,44,4.736747130977027,8.876873997506573,0.35199061361786405,0.14036464797302267,1.741558250209608,0.03958086932294564,0.0654316246509552,0.008154286071658134
h15.mlp.c_f,26,26,4.735025234176987,3.008419480393575,0.10654923862165133,0.06141731655311135,6.5197137265001475,0.25075822025000566,0.04262832924723625,0.012070992961525917
h13.mlp.c_pro,39,39,4.6875851759244895,10.396898454742074,0.4370406894894264,0.16902784126704082,1.4903113269331083,0.038213110947002776,0.05356600880622864,0.015053799375891685
h8.mlp.c_pro,35,35,4.665380755382481,12.098035106878442,0.41831813081034447,0.18413369392385065,1.326231052210257,0.03789231577743591,0.08980710059404373,0.007628369610756636
h9.mlp.c_pro,40,40,4.6337164986216575,10.070398636575952,0.38397220433524,0.15275295778832207,1.5518418403053813,0.03879604600763453,0.06902611255645752,0.01490028016269207
h11.mlp.c_pro,37,37,4.497827593314776,8.981816975984309,0.36392903417586997,0.1676491589356759,1.6121353934702984,0.04357122685054861,0.07757933437824249,0.014482459984719753
h3.attn.c_pro,28,28,4.199331487181894,5.734220057966324,0.600344223568567,0.2492202002901256,1.1876615508595048,0.042416483959268024,0.08968519419431686,0.02204689010977745
h3.attn.c_att,35,35,4.158370215675254,5.9495959647963925,0.5696285221948028,0.20828979491601662,1.5064393951786441,0.04304112557653269,0.07422354072332382,0.017605949193239212
h22.attn.c_pro,22,22,3.128991815468916,3.3399907039205816,0.4497255294546896,0.17930181819902183,1.454561359326404,0.06611642542392746,0.051254551857709885,0.022907473146915436
h20.attn.c_att,24,24,2.8865349900943427,3.7140106747840007,0.4868496354264533,0.17182903434753424,1.6278518901100452,0.06782716208791854,0.09603948891162872,0.013605658896267414
h2.attn.c_att,17,17,2.5325440585508416,2.7216836734766576,0.36888893583938015,0.19771441803729287,1.9899804295419754,0.11705767232599855,0.05877770110964775,0.01880398392677307
h19.attn.c_att,21,21,2.449307674685382,3.0696615953922213,0.43683140459436576,0.15054609753178505,2.0458281932115554,0.0974203901529312,0.0802556499838829,0.01906782016158104
h21.attn.c_pro,15,15,2.4001517512678876,2.8436948636306263,0.5920635169510435,0.21298209350079975,1.302459858588448,0.08683065723922986,0.09487050026655197,0.033566564321517944
h8.attn.c_pro,14,14,2.164651351206083,2.1544507459396134,0.27199137270627977,0.15347838370110223,1.9698018599736873,0.14070013285526337,0.07491303235292435,0.022272994741797447
h7.attn.c_att,20,20,2.0975516794552522,2.5693094709109427,0.28607558541024203,0.08212262205244784,2.9917340638679124,0.14958670319339562,0.07265613973140717,0.009800488129258156
h6.attn.c_pro,12,12,2.0281746427120924,1.9858473489007877,0.3063016277913705,0.1779404403665458,1.7462339740560533,0.14551949783800444,0.07506904751062393,0.024783553555607796
h9.attn.c_pro,12,12,2.0026494454059582,1.9680041765302554,0.28877260072647143,0.1564582188097906,1.8325935634935369,0.15271613029112807,0.06629043072462082,0.02288690395653248
h7.attn.c_pro,11,11,1.9039928210607924,1.9009794038570509,0.2408296624776297,0.17072821718298511,1.8736304456955155,0.17033004051777415,0.06757143139839172,0.03032025322318077
h20.attn.c_pro,11,11,1.891471132205864,1.8986590988832215,0.30483964273972847,0.16313245886911165,1.7299984597242268,0.157272587247657,0.061749957501888275,0.02180740050971508
h17.attn.c_att,15,15,1.799321398849363,2.3245500263655594,0.36942032950943254,0.12838070409112237,2.405002611509281,0.16033350743395208,0.05382871255278587,0.014034409075975418
h6.attn.c_att,16,16,1.7201438550329586,2.288228749222469,0.2674082092461605,0.08855659109392894,2.7097907215749952,0.1693619200984372,0.07498463988304138,0.017932593822479248
h4.attn.c_pro,9,9,1.673365812039653,1.6891621616739667,0.2896921844803012,0.16135885192636892,1.7912966227610234,0.19903295808455815,0.07427780330181122,0.028805678710341454
h11.attn.c_att,17,17,1.664543937570628,2.4022354973764872,0.3133287943935793,0.08558749482206597,2.4862436722835257,0.14624962778138387,0.07048504054546356,0.013036937452852726
h17.attn.c_pro,8,8,1.573873135485326,1.6057114625366742,0.31197305180079404,0.2130737264006677,1.7483921300270966,0.21854901625338707,0.07155726104974747,0.03722001984715462
h14.attn.c_pro,8,8,1.569563749229815,1.5757775580672466,0.29849333354051866,0.16535054183907824,1.7067994781462217,0.2133499347682777,0.07451406866312027,0.02813991717994213
